"id","company_id/id","parent_id/id","name","code","format","report_id/id"
"bzr_fi.2231","base.main_company",,"应付股利",2231,"fi.detail.ledger","bzr_fi.fi_report_42"
"bzr_fi.2232","base.main_company",,"应付利息",2232,"fi.detail.ledger","bzr_fi.fi_report_41"
"bzr_fi.2241","base.main_company",,"其他应付款",2241,"fi.detail.ledger","bzr_fi.fi_report_43"
"bzr_fi.2314","base.main_company",,"受托代销商品款",2314,"fi.detail.ledger","bzr_fi.fi_report_45"
"bzr_fi.2401","base.main_company",,"递延收益",2401,"fi.detail.ledger","bzr_fi.fi_report_45"
"bzr_fi.2501","base.main_company",,"长期借款",2501,"fi.detail.ledger","bzr_fi.fi_report_48"
"bzr_fi.250101","base.main_company","bzr_fi.2501","本金",250101,"fi.detail.ledger","bzr_fi.fi_report_48"
"bzr_fi.250102","base.main_company","bzr_fi.2501","利息调整",250102,"fi.detail.ledger","bzr_fi.fi_report_48"
"bzr_fi.2502","base.main_company",,"应付债券",2502,"fi.detail.ledger","bzr_fi.fi_report_49"
"bzr_fi.250201","base.main_company","bzr_fi.2502","债券面值",250201,"fi.detail.ledger","bzr_fi.fi_report_49"
"bzr_fi.250202","base.main_company","bzr_fi.2502","利息调整",250202,"fi.detail.ledger","bzr_fi.fi_report_49"
"bzr_fi.250203","base.main_company","bzr_fi.2502","应计利息",250203,"fi.detail.ledger","bzr_fi.fi_report_49"
"bzr_fi.2701","base.main_company",,"长期应付款",2701,"fi.detail.ledger","bzr_fi.fi_report_50"
"bzr_fi.2702","base.main_company",,"未确认融资费用",2702,"fi.detail.ledger",
"bzr_fi.2711","base.main_company",,"专项应付款",2711,"fi.detail.ledger","bzr_fi.fi_report_51"
"bzr_fi.2801","base.main_company",,"预计负债",2801,"fi.detail.ledger","bzr_fi.fi_report_52"
"bzr_fi.2901","base.main_company",,"递延所得税负债",2901,"fi.detail.ledger","bzr_fi.fi_report_53"
"bzr_fi.3101","base.main_company",,"衍生工具",3101,"fi.detail.ledger",
"bzr_fi.3201","base.main_company",,"套期工具",3201,"fi.detail.ledger",
"bzr_fi.3202","base.main_company",,"被套期项目",3202,"fi.detail.ledger",
"bzr_fi.4001","base.main_company",,"实收资本",4001,"fi.detail.ledger","bzr_fi.fi_report_58"
"bzr_fi.4002","base.main_company",,"资本公积",4002,"fi.detail.ledger","bzr_fi.fi_report_59"
"bzr_fi.400201","base.main_company","bzr_fi.4002","资本溢价",400201,"fi.detail.ledger","bzr_fi.fi_report_59"
"bzr_fi.400202","base.main_company","bzr_fi.4002","股本溢价",400202,"fi.detail.ledger","bzr_fi.fi_report_59"
"bzr_fi.400203","base.main_company","bzr_fi.4002","其他资本公积",400203,"fi.detail.ledger","bzr_fi.fi_report_59"
"bzr_fi.4101","base.main_company",,"盈余公积",4101,"fi.detail.ledger","bzr_fi.fi_report_61"
"bzr_fi.410101","base.main_company","bzr_fi.4101","法定盈余公积",410101,"fi.detail.ledger","bzr_fi.fi_report_61"
"bzr_fi.410102","base.main_company","bzr_fi.4101","任意盈余公积",410102,"fi.detail.ledger","bzr_fi.fi_report_61"
"bzr_fi.410103","base.main_company","bzr_fi.4101","法定公益金",410103,"fi.detail.ledger","bzr_fi.fi_report_61"
"bzr_fi.410104","base.main_company","bzr_fi.4101","储备基金",410104,"fi.detail.ledger","bzr_fi.fi_report_61"
"bzr_fi.410105","base.main_company","bzr_fi.4101","企业发展基金",410105,"fi.detail.ledger","bzr_fi.fi_report_61"
"bzr_fi.410106","base.main_company","bzr_fi.4101","利润归还投资",410106,"fi.detail.ledger","bzr_fi.fi_report_61"
"bzr_fi.4103","base.main_company",,"本年利润",4103,"fi.detail.ledger","bzr_fi.fi_report_52"
"bzr_fi.4104","base.main_company",,"利润分配",4104,"fi.detail.ledger",
"bzr_fi.410401","base.main_company","bzr_fi.4104","提取法定盈余公积",410401,"fi.detail.ledger",
"bzr_fi.410402","base.main_company","bzr_fi.4104","提取任意盈余公积",410402,"fi.detail.ledger",
"bzr_fi.410403","base.main_company","bzr_fi.4104","提取法定公益金",410403,"fi.detail.ledger",
"bzr_fi.410404","base.main_company","bzr_fi.4104","应付现金股利或利润",410404,"fi.detail.ledger",
"bzr_fi.410405","base.main_company","bzr_fi.4104","转作股本的利润",410405,"fi.detail.ledger",
"bzr_fi.410406","base.main_company","bzr_fi.4104","盈余公积补亏",410406,"fi.detail.ledger",
"bzr_fi.410407","base.main_company","bzr_fi.4104","提取储备基金",410407,"fi.detail.ledger",
"bzr_fi.410408","base.main_company","bzr_fi.4104","提取企业发展基金",410408,"fi.detail.ledger",
"bzr_fi.410409","base.main_company","bzr_fi.4104","提取职工奖励及福利基金",410409,"fi.detail.ledger",
"bzr_fi.410410","base.main_company","bzr_fi.4104","利润归还投资",410410,"fi.detail.ledger",
"bzr_fi.410411","base.main_company","bzr_fi.4104","未分配利润",410411,"fi.detail.ledger","bzr_fi.fi_report_62"
"bzr_fi.4201","base.main_company",,"库存股",4201,"fi.detail.ledger","bzr_fi.fi_report_60"
"bzr_fi.5001","base.main_company",,"生产成本",5001,"fi.detail.ledger",
"bzr_fi.500101","base.main_company","bzr_fi.5001","基本生产成本",500101,"fi.detail.ledger",
"bzr_fi.500102","base.main_company","bzr_fi.5001","辅助生产成本",500102,"fi.detail.ledger",
"bzr_fi.5101","base.main_company",,"制造费用",5101,"fi.detail.ledger",
"bzr_fi.5201","base.main_company",,"劳务成本",5201,"fi.detail.ledger",
"bzr_fi.5301","base.main_company",,"研发支出",5301,"fi.detail.ledger",
"bzr_fi.530101","base.main_company","bzr_fi.5301","费用化支出",530101,"fi.detail.ledger",
"bzr_fi.530102","base.main_company","bzr_fi.5301","资本化支出",530102,"fi.detail.ledger",
"bzr_fi.6001","base.main_company",,"主营业务收入",6001,"fi.detail.ledger","bzr_fi.fi_report_65"
"bzr_fi.6051","base.main_company",,"其他业务收入",6051,"fi.detail.ledger","bzr_fi.fi_report_65"
"bzr_fi.6101","base.main_company",,"公允价值变动损益",6101,"fi.detail.ledger","bzr_fi.fi_report_73"
"bzr_fi.6111","base.main_company",,"投资收益",6111,"fi.detail.ledger","bzr_fi.fi_report_72"
"bzr_fi.6301","base.main_company",,"营业外收入",6301,"fi.detail.ledger","bzr_fi.fi_report_75"
"bzr_fi.6401","base.main_company",,"主营业务成本",6401,"fi.detail.ledger","bzr_fi.fi_report_66"
"bzr_fi.6402","base.main_company",,"其他业务成本",6402,"fi.detail.ledger","bzr_fi.fi_report_66"
"bzr_fi.6403","base.main_company",,"营业税金及附加",6403,"fi.detail.ledger","bzr_fi.fi_report_67"
"bzr_fi.6601","base.main_company",,"销售费用",6601,"fi.detail.ledger","bzr_fi.fi_report_68"
"bzr_fi.660101","base.main_company","bzr_fi.6601","办公用品",660101,"fi.detail.ledger","bzr_fi.fi_report_68"
"bzr_fi.660102","base.main_company","bzr_fi.6601","房租",660102,"fi.detail.ledger","bzr_fi.fi_report_68"
"bzr_fi.660103","base.main_company","bzr_fi.6601","物业管理费",660103,"fi.detail.ledger","bzr_fi.fi_report_68"
"bzr_fi.660104","base.main_company","bzr_fi.6601","水电费",660104,"fi.detail.ledger","bzr_fi.fi_report_68"
"bzr_fi.660105","base.main_company","bzr_fi.6601","交际应酬费",660105,"fi.detail.ledger","bzr_fi.fi_report_68"
"bzr_fi.660106","base.main_company","bzr_fi.6601","市内交通费",660106,"fi.detail.ledger","bzr_fi.fi_report_68"
"bzr_fi.660107","base.main_company","bzr_fi.6601","差旅费",660107,"fi.detail.ledger","bzr_fi.fi_report_68"
"bzr_fi.660108","base.main_company","bzr_fi.6601","补助",660108,"fi.detail.ledger","bzr_fi.fi_report_68"
"bzr_fi.660109","base.main_company","bzr_fi.6601","通讯费",660109,"fi.detail.ledger","bzr_fi.fi_report_68"
"bzr_fi.660110","base.main_company","bzr_fi.6601","工资",660110,"fi.detail.ledger","bzr_fi.fi_report_68"
"bzr_fi.660111","base.main_company","bzr_fi.6601","佣金",660111,"fi.detail.ledger","bzr_fi.fi_report_68"
"bzr_fi.660112","base.main_company","bzr_fi.6601","保险金",660112,"fi.detail.ledger","bzr_fi.fi_report_68"
"bzr_fi.660113","base.main_company","bzr_fi.6601","福利费",660113,"fi.detail.ledger","bzr_fi.fi_report_68"
"bzr_fi.660114","base.main_company","bzr_fi.6601","包装费",660114,"fi.detail.ledger","bzr_fi.fi_report_68"
"bzr_fi.660115","base.main_company","bzr_fi.6601","展览费和广告费",660115,"fi.detail.ledger","bzr_fi.fi_report_68"
"bzr_fi.660116","base.main_company","bzr_fi.6601","商品维修费",660116,"fi.detail.ledger","bzr_fi.fi_report_68"
"bzr_fi.660117","base.main_company","bzr_fi.6601","预计产品质量保证损失",660117,"fi.detail.ledger","bzr_fi.fi_report_68"
"bzr_fi.660118","base.main_company","bzr_fi.6601","运输费",660118,"fi.detail.ledger","bzr_fi.fi_report_68"
"bzr_fi.660119","base.main_company","bzr_fi.6601","装卸费",660119,"fi.detail.ledger","bzr_fi.fi_report_68"
"bzr_fi.660120","base.main_company","bzr_fi.6601","折旧费",660120,"fi.detail.ledger","bzr_fi.fi_report_68"
"bzr_fi.660121","base.main_company","bzr_fi.6601","计提福利",660121,"fi.detail.ledger","bzr_fi.fi_report_68"
"bzr_fi.660122","base.main_company","bzr_fi.6601","计提职工教育经费",660122,"fi.detail.ledger","bzr_fi.fi_report_68"
"bzr_fi.660199","base.main_company","bzr_fi.6601","其他",660199,"fi.detail.ledger","bzr_fi.fi_report_68"
"bzr_fi.6602","base.main_company",,"管理费用",6602,"fi.detail.ledger","bzr_fi.fi_report_69"
"bzr_fi.660201","base.main_company","bzr_fi.6602","办公用品",660201,"fi.detail.ledger","bzr_fi.fi_report_69"
"bzr_fi.660202","base.main_company","bzr_fi.6602","房租",660202,"fi.detail.ledger","bzr_fi.fi_report_69"
"bzr_fi.660203","base.main_company","bzr_fi.6602","物业管理费",660203,"fi.detail.ledger","bzr_fi.fi_report_69"
"bzr_fi.660204","base.main_company","bzr_fi.6602","水电费",660204,"fi.detail.ledger","bzr_fi.fi_report_69"
"bzr_fi.660205","base.main_company","bzr_fi.6602","交际应酬费",660205,"fi.detail.ledger","bzr_fi.fi_report_69"
"bzr_fi.660206","base.main_company","bzr_fi.6602","市内交通费",660206,"fi.detail.ledger","bzr_fi.fi_report_69"
"bzr_fi.660207","base.main_company","bzr_fi.6602","差旅费",660207,"fi.detail.ledger","bzr_fi.fi_report_69"
"bzr_fi.660208","base.main_company","bzr_fi.6602","通讯费",660208,"fi.detail.ledger","bzr_fi.fi_report_69"
"bzr_fi.660209","base.main_company","bzr_fi.6602","工资",660209,"fi.detail.ledger","bzr_fi.fi_report_69"
"bzr_fi.660210","base.main_company","bzr_fi.6602","保险金",660210,"fi.detail.ledger","bzr_fi.fi_report_69"
"bzr_fi.660211","base.main_company","bzr_fi.6602","福利费",660211,"fi.detail.ledger","bzr_fi.fi_report_69"
"bzr_fi.660212","base.main_company","bzr_fi.6602","工会经费",660212,"fi.detail.ledger","bzr_fi.fi_report_69"
"bzr_fi.660213","base.main_company","bzr_fi.6602","董事会费",660213,"fi.detail.ledger","bzr_fi.fi_report_69"
"bzr_fi.660214","base.main_company","bzr_fi.6602","聘请中介机构费",660214,"fi.detail.ledger","bzr_fi.fi_report_69"
"bzr_fi.660215","base.main_company","bzr_fi.6602","咨询费",660215,"fi.detail.ledger","bzr_fi.fi_report_69"
"bzr_fi.660216","base.main_company","bzr_fi.6602","诉讼费",660216,"fi.detail.ledger","bzr_fi.fi_report_69"
"bzr_fi.660217","base.main_company","bzr_fi.6602","房产税",660217,"fi.detail.ledger","bzr_fi.fi_report_69"
"bzr_fi.660218","base.main_company","bzr_fi.6602","车船使用税",660218,"fi.detail.ledger","bzr_fi.fi_report_69"
"bzr_fi.660219","base.main_company","bzr_fi.6602","土地使用税",660219,"fi.detail.ledger","bzr_fi.fi_report_69"
"bzr_fi.660220","base.main_company","bzr_fi.6602","印花税",660220,"fi.detail.ledger","bzr_fi.fi_report_69"
"bzr_fi.660221","base.main_company","bzr_fi.6602","技术转让费",660221,"fi.detail.ledger","bzr_fi.fi_report_69"
"bzr_fi.660222","base.main_company","bzr_fi.6602","矿产资源补偿费",660222,"fi.detail.ledger","bzr_fi.fi_report_69"
"bzr_fi.660223","base.main_company","bzr_fi.6602","研究费用",660223,"fi.detail.ledger","bzr_fi.fi_report_69"
"bzr_fi.660224","base.main_company","bzr_fi.6602","排污费",660224,"fi.detail.ledger","bzr_fi.fi_report_69"
"bzr_fi.660225","base.main_company","bzr_fi.6602","折旧费",660225,"fi.detail.ledger","bzr_fi.fi_report_69"
"bzr_fi.660226","base.main_company","bzr_fi.6602","计提福利",660226,"fi.detail.ledger","bzr_fi.fi_report_69"
"bzr_fi.660227","base.main_company","bzr_fi.6602","计提职工教育经费",660227,"fi.detail.ledger","bzr_fi.fi_report_69"
"bzr_fi.660228","base.main_company","bzr_fi.6602","存货盘亏或盘盈",660228,"fi.detail.ledger","bzr_fi.fi_report_69"
"bzr_fi.660299","base.main_company","bzr_fi.6602","其他",660299,"fi.detail.ledger","bzr_fi.fi_report_69"
"bzr_fi.6603","base.main_company",,"财务费用",6603,"fi.detail.ledger","bzr_fi.fi_report_70"
"bzr_fi.660301","base.main_company","bzr_fi.6603","汇兑损益",660301,"fi.detail.ledger","bzr_fi.fi_report_70"
"bzr_fi.660302","base.main_company","bzr_fi.6603","利息",660302,"fi.detail.ledger","bzr_fi.fi_report_70"
"bzr_fi.660303","base.main_company","bzr_fi.6603","手续费",660303,"fi.detail.ledger","bzr_fi.fi_report_70"
"bzr_fi.660399","base.main_company","bzr_fi.6603","其他",660399,"fi.detail.ledger","bzr_fi.fi_report_70"
"bzr_fi.6701","base.main_company",,"资产减值损失",6701,"fi.detail.ledger","bzr_fi.fi_report_73"
"bzr_fi.6711","base.main_company",,"营业外支出",6711,"fi.detail.ledger","bzr_fi.fi_report_76"
"bzr_fi.6801","base.main_company",,"所得税费用",6801,"fi.detail.ledger","bzr_fi.fi_report_78"
"bzr_fi.680101","base.main_company","bzr_fi.6801","当期所得税费用",680101,"fi.detail.ledger","bzr_fi.fi_report_78"
"bzr_fi.680102","base.main_company","bzr_fi.6801","递延所得税费用",680102,"fi.detail.ledger","bzr_fi.fi_report_78"
"bzr_fi.6901","base.main_company",,"以前年度损益调整",6901,"fi.detail.ledger",
